ricin , 0 , None , 0.188048 , 0.08 , -1 , 0
GKF0ItZDQgVAIwlfzOYty6JmfwrLNrvY , 0 , None , 0.196081 , -1 , -1 , 1
American Airlines , 0 , 74.125.178.20 , 0.278189 , 0.15 , 22.4 , 0
3OIvR1caCk4NIe0DaSPOPJxuJUiTRSnq , 0 , 128.2.211.114 , 0.216379 , -1 , 0.047 , 1
Huffington Post , 0 , 128.2.211.114 , 2.394718 , 0.15 , 0.044 , 0
pAsDigON4XrJR3J8q0hF8GcvJWA7JJvE , 0 , None , 0.18954 , -1 , -1 , 1
Krystle Campbell , 0 , None , 0.322852 , 0.19 , -1 , 0
tgwBqDsHwcIEq0RE68eELh5NdeZl3fz8 , 0 , None , 0.193479 , -1 , -1 , 1
Girls Love Beyonce , 0 , 74.125.178.17 , 0.483908 , 0.2 , 23.0 , 0
rZPL47hVXDdh2Sv8qLgfs4ETzyaNownk , 0 , 64.83.0.10 , 0.346382 , -1 , 14.6 , 1
Tracy McGrady , 0 , None , 0.317474 , 0.21 , -1 , 0
cPJrs2WnJMHRZgJYvKSPeInZ5FCi1mYG , 0 , 198.85.24.3 , 0.313665 , -1 , -1 , 1
USA TODAY , 0 , None , 0.289777 , 0.15 , -1 , 0
RmZ6rtKxzdeh7l4MJ8PzxDKOe2v3gzyP , 0 , 128.2.211.114 , 0.191588 , -1 , 0.035 , 1
Washington Post , 0 , 170.163.14.90 , 0.306785 , 0.2 , -1 , 0
XUnhpDCzp4WXkpijJ5TKTuQXEBnOKPj0 , 0 , None , 0.177242 , -1 , -1 , 1
Carlos Arredondo , 0 , None , 0.279153 , 0.15 , -1 , 0
nKh0Q8ntG10N0Re7puYcQcyy8P8DfRdN , 0 , 128.2.211.114 , 1.968419 , -1 , 0.044 , 1
Outside Lands , 0 , None , 0.216514 , 0.13 , -1 , 0
ACwihn9h2z66e9RH4hIuEvKdPcPj08zJ , 0 , None , 0.212872 , -1 , -1 , 1
ricin , 1 , None , 0.189561 , 0.09 , -1 , 0
GKF0ItZDQgVAIwlfzOYty6JmfwrLNrvY , 1 , 204.176.110.106 , 0.513379 , -1 , 33.6 , 1
American Airlines , 1 , 200.4.48.10 , 0.238472 , 0.13 , 70.8 , 0
3OIvR1caCk4NIe0DaSPOPJxuJUiTRSnq , 1 , None , 0.191236 , -1 , -1 , 1
Huffington Post , 1 , 68.179.206.42 , 1.134037 , 0.14 , 68.5 , 0
pAsDigON4XrJR3J8q0hF8GcvJWA7JJvE , 1 , 141.117.100.1 , 0.180402 , -1 , 30.7 , 1
Krystle Campbell , 1 , None , 0.279915 , 0.14 , -1 , 0
tgwBqDsHwcIEq0RE68eELh5NdeZl3fz8 , 1 , None , 0.17281 , -1 , -1 , 1
Girls Love Beyonce , 1 , None , 0.23771 , 0.16 , -1 , 0
rZPL47hVXDdh2Sv8qLgfs4ETzyaNownk , 1 , None , 0.19418 , -1 , -1 , 1
Tracy McGrady , 1 , None , 0.23008 , 0.14 , -1 , 0
cPJrs2WnJMHRZgJYvKSPeInZ5FCi1mYG , 1 , None , 0.195646 , -1 , -1 , 1
USA TODAY , 1 , None , 0.310465 , 0.16 , -1 , 0
RmZ6rtKxzdeh7l4MJ8PzxDKOe2v3gzyP , 1 , 128.2.211.114 , 0.183636 , -1 , 0.034 , 1
Washington Post , 1 , 170.163.14.90 , 0.200403 , 0.12 , -1 , 0
XUnhpDCzp4WXkpijJ5TKTuQXEBnOKPj0 , 1 , 170.163.14.90 , 1.150654 , -1 , -1 , 1
Carlos Arredondo , 1 , 128.2.211.114 , 0.306143 , 0.22 , 0.05 , 0
nKh0Q8ntG10N0Re7puYcQcyy8P8DfRdN , 1 , None , 0.222007 , -1 , -1 , 1
Outside Lands , 1 , None , 0.239418 , 0.11 , -1 , 0
ACwihn9h2z66e9RH4hIuEvKdPcPj08zJ , 1 , 60.234.2.2 , 0.409386 , -1 , -1 , 1
ricin , 2 , 38.101.200.22 , 0.201345 , 0.09 , 21.0 , 0
GKF0ItZDQgVAIwlfzOYty6JmfwrLNrvY , 2 , 64.80.255.118 , 0.26141 , -1 , 58.8 , 1
American Airlines , 2 , 64.80.255.118 , 0.328849 , 0.22 , 58.8 , 0
3OIvR1caCk4NIe0DaSPOPJxuJUiTRSnq , 2 , 170.163.14.90 , 0.22821 , -1 , -1 , 1
Huffington Post , 2 , None , 0.352865 , 0.15 , -1 , 0
pAsDigON4XrJR3J8q0hF8GcvJWA7JJvE , 2 , 128.2.211.114 , 0.363503 , -1 , 0.038 , 1
Krystle Campbell , 2 , None , 0.23025 , 0.13 , -1 , 0
tgwBqDsHwcIEq0RE68eELh5NdeZl3fz8 , 2 , None , 0.174049 , -1 , -1 , 1
Girls Love Beyonce , 2 , 128.2.211.114 , 0.289583 , 0.21 , 0.043 , 0
rZPL47hVXDdh2Sv8qLgfs4ETzyaNownk , 2 , 209.87.64.70 , 0.283482 , -1 , 19.9 , 1
Tracy McGrady , 2 , None , 0.364793 , 0.16 , -1 , 0
cPJrs2WnJMHRZgJYvKSPeInZ5FCi1mYG , 2 , 128.2.211.114 , 0.230394 , -1 , 0.04 , 1
USA TODAY , 2 , 128.2.211.114 , 0.90197 , 0.14 , 0.043 , 0
RmZ6rtKxzdeh7l4MJ8PzxDKOe2v3gzyP , 2 , None , 0.212545 , -1 , -1 , 1
Washington Post , 2 , 68.179.206.42 , 0.3219 , 0.14 , 68.4 , 0
XUnhpDCzp4WXkpijJ5TKTuQXEBnOKPj0 , 2 , None , 0.214284 , -1 , -1 , 1
Carlos Arredondo , 2 , 74.118.124.35 , 0.33903 , 0.17 , -1 , 0
nKh0Q8ntG10N0Re7puYcQcyy8P8DfRdN , 2 , None , 0.194772 , -1 , -1 , 1
Outside Lands , 2 , None , 0.238244 , 0.11 , -1 , 0
ACwihn9h2z66e9RH4hIuEvKdPcPj08zJ , 2 , 68.105.28.142 , 0.238711 , -1 , 44.7 , 1
ricin , 3 , 38.102.194.214 , 0.222701 , 0.09 , 22.0 , 0
GKF0ItZDQgVAIwlfzOYty6JmfwrLNrvY , 3 , None , 0.223988 , -1 , -1 , 1
American Airlines , 3 , None , 0.269586 , 0.15 , -1 , 0
3OIvR1caCk4NIe0DaSPOPJxuJUiTRSnq , 3 , None , 0.199688 , -1 , -1 , 1
Huffington Post , 3 , 147.249.60.21 , 0.260788 , 0.13 , -1 , 0
pAsDigON4XrJR3J8q0hF8GcvJWA7JJvE , 3 , 38.104.99.198 , 0.211353 , -1 , 22.5 , 1
Krystle Campbell , 3 , None , 0.283538 , 0.15 , -1 , 0
tgwBqDsHwcIEq0RE68eELh5NdeZl3fz8 , 3 , None , 0.182035 , -1 , -1 , 1
Girls Love Beyonce , 3 , 170.163.14.90 , 0.296487 , 0.17 , -1 , 0
rZPL47hVXDdh2Sv8qLgfs4ETzyaNownk , 3 , 74.125.178.23 , 0.488701 , -1 , 23.0 , 1
Tracy McGrady , 3 , None , 0.330605 , 0.19 , -1 , 0
cPJrs2WnJMHRZgJYvKSPeInZ5FCi1mYG , 3 , None , 0.219662 , -1 , -1 , 1
USA TODAY , 3 , 216.19.176.7 , 0.308166 , 0.14 , 73.8 , 0
RmZ6rtKxzdeh7l4MJ8PzxDKOe2v3gzyP , 3 , None , 0.187316 , -1 , -1 , 1
Washington Post , 3 , 67.218.123.134 , 0.584404 , 0.14 , 64.4 , 0
XUnhpDCzp4WXkpijJ5TKTuQXEBnOKPj0 , 3 , 128.2.211.114 , 0.171683 , -1 , 0.033 , 1
Carlos Arredondo , 3 , None , 0.327387 , 0.2 , -1 , 0
nKh0Q8ntG10N0Re7puYcQcyy8P8DfRdN , 3 , None , 0.167725 , -1 , -1 , 1
Outside Lands , 3 , 128.2.211.114 , 0.334087 , 0.1 , 0.036 , 0
ACwihn9h2z66e9RH4hIuEvKdPcPj08zJ , 3 , None , 0.173177 , -1 , -1 , 1
ricin , 4 , 67.214.64.174 , 0.256357 , 0.17 , 47.6 , 0
GKF0ItZDQgVAIwlfzOYty6JmfwrLNrvY , 4 , 128.2.211.114 , 0.836887 , -1 , 0.044 , 1
American Airlines , 4 , None , 0.220237 , 0.12 , -1 , 0
3OIvR1caCk4NIe0DaSPOPJxuJUiTRSnq , 4 , 128.2.211.114 , 0.405892 , -1 , 0.045 , 1
Huffington Post , 4 , None , 0.229715 , 0.14 , -1 , 0
pAsDigON4XrJR3J8q0hF8GcvJWA7JJvE , 4 , None , 0.218475 , -1 , -1 , 1
Krystle Campbell , 4 , 128.2.211.114 , 0.247161 , 0.11 , 0.044 , 0
tgwBqDsHwcIEq0RE68eELh5NdeZl3fz8 , 4 , None , 0.181958 , -1 , -1 , 1
Girls Love Beyonce , 4 , 128.2.211.114 , 0.242429 , 0.16 , 0.043 , 0
rZPL47hVXDdh2Sv8qLgfs4ETzyaNownk , 4 , None , 0.210525 , -1 , -1 , 1
Tracy McGrady , 4 , None , 0.309993 , 0.16 , -1 , 0
cPJrs2WnJMHRZgJYvKSPeInZ5FCi1mYG , 4 , 174.47.134.75 , 1.842016 , -1 , 40.3 , 1
USA TODAY , 4 , 192.234.93.201 , 0.224586 , 0.14 , 24.9 , 0
RmZ6rtKxzdeh7l4MJ8PzxDKOe2v3gzyP , 4 , None , 0.202307 , -1 , -1 , 1
Washington Post , 4 , 170.163.14.90 , 0.748116 , 0.22 , -1 , 0
XUnhpDCzp4WXkpijJ5TKTuQXEBnOKPj0 , 4 , None , 0.198674 , -1 , -1 , 1
Carlos Arredondo , 4 , None , 0.290895 , 0.17 , -1 , 0
