ricin , 0 , 130.149.49.136 , 0.153389 , 0.1 , 0.12 , 0
3b9Ybz9yvJi5gQdBD28FXzbN4RRONPbl , 0 , None , 0.146405 , -1 , -1 , 1
American Airlines , 0 , 130.149.49.136 , 0.221663 , 0.13 , 0.099 , 0
Lu2JbXvbYpDcKGg1AucrUvw4sT1mqui8 , 0 , None , 0.197043 , -1 , -1 , 1
Huffington Post , 0 , 130.149.49.136 , 0.570026 , 0.15 , 0.126 , 0
RBR5kUSZOFaLQcFurFDYBIrvwt7LsfHP , 0 , 130.149.49.136 , 0.201555 , -1 , 0.071 , 1
Krystle Campbell , 0 , None , 0.281821 , 0.19 , -1 , 0
FkbZgtgg7k9NNEfggXl5kHgSyh33gi8t , 0 , 130.149.49.136 , 0.162505 , -1 , 0.071 , 1
Girls Love Beyonce , 0 , 130.149.49.136 , 0.264648 , 0.21 , 0.117 , 0
2H3vcyweorFMyTyO7WvsHl5eFIl3L7R2 , 0 , None , 0.155023 , -1 , -1 , 1
Tracy McGrady , 0 , None , 0.229672 , 0.16 , -1 , 0
DWg8pRdfxqdlhITRaHdBHJIpIXlWE2iR , 0 , None , 0.1642 , -1 , -1 , 1
USA TODAY , 0 , None , 0.173518 , 0.13 , -1 , 0
4Ypp8Dhi6Wv6AZee9NwwLdb2rvBpPl8N , 0 , 130.149.49.136 , 0.212509 , -1 , 0.125 , 1
Washington Post , 0 , None , 0.188028 , 0.14 , -1 , 0
07eWTv7YEp5q7hH6RAaosDgRXu8IvicN , 0 , None , 0.15858 , -1 , -1 , 1
Carlos Arredondo , 0 , 130.149.49.136 , 0.191587 , 0.13 , 0.092 , 0
xZtnc3buYgkihEWbiQHgWJLoIgYSR1x1 , 0 , None , 0.161409 , -1 , -1 , 1
Outside Lands , 0 , 130.149.49.136 , 0.562876 , 0.11 , 0.096 , 0
IqC4erwBnnkzywZyTy5nyV6J5ewxlajt , 0 , None , 0.21196 , -1 , -1 , 1
ricin , 1 , None , 0.176595 , 0.12 , -1 , 0
3b9Ybz9yvJi5gQdBD28FXzbN4RRONPbl , 1 , 130.149.49.136 , 0.104592 , -1 , 0.085 , 1
American Airlines , 1 , 130.149.49.136 , 1.040413 , 0.14 , 0.095 , 0
Lu2JbXvbYpDcKGg1AucrUvw4sT1mqui8 , 1 , None , 0.117708 , -1 , -1 , 1
Huffington Post , 1 , None , 0.176859 , 0.12 , -1 , 0
RBR5kUSZOFaLQcFurFDYBIrvwt7LsfHP , 1 , None , 0.143149 , -1 , -1 , 1
Krystle Campbell , 1 , None , 0.259033 , 0.19 , -1 , 0
FkbZgtgg7k9NNEfggXl5kHgSyh33gi8t , 1 , 130.149.49.136 , 0.187502 , -1 , 0.123 , 1
Girls Love Beyonce , 1 , None , 0.186416 , 0.13 , -1 , 0
2H3vcyweorFMyTyO7WvsHl5eFIl3L7R2 , 1 , None , 0.119424 , -1 , -1 , 1
Tracy McGrady , 1 , None , 0.250082 , 0.17 , -1 , 0
DWg8pRdfxqdlhITRaHdBHJIpIXlWE2iR , 1 , None , 0.104041 , -1 , -1 , 1
USA TODAY , 1 , 130.149.49.136 , 0.176721 , 0.13 , 0.105 , 0
4Ypp8Dhi6Wv6AZee9NwwLdb2rvBpPl8N , 1 , None , 0.164422 , -1 , -1 , 1
Washington Post , 1 , 130.149.49.136 , 0.27051 , 0.21 , 0.07 , 0
07eWTv7YEp5q7hH6RAaosDgRXu8IvicN , 1 , None , 0.196781 , -1 , -1 , 1
Carlos Arredondo , 1 , None , 0.214287 , 0.14 , -1 , 0
xZtnc3buYgkihEWbiQHgWJLoIgYSR1x1 , 1 , None , 0.154123 , -1 , -1 , 1
Outside Lands , 1 , 130.149.49.136 , 0.225217 , 0.11 , 0.126 , 0
IqC4erwBnnkzywZyTy5nyV6J5ewxlajt , 1 , None , 0.131044 , -1 , -1 , 1
ricin , 2 , None , 0.187169 , 0.13 , -1 , 0
3b9Ybz9yvJi5gQdBD28FXzbN4RRONPbl , 2 , None , 0.12737 , -1 , -1 , 1
American Airlines , 2 , None , 0.225247 , 0.12 , -1 , 0
Lu2JbXvbYpDcKGg1AucrUvw4sT1mqui8 , 2 , None , 0.133722 , -1 , -1 , 1
Huffington Post , 2 , 130.149.49.136 , 0.582126 , 0.14 , 0.091 , 0
RBR5kUSZOFaLQcFurFDYBIrvwt7LsfHP , 2 , 130.149.49.136 , 0.190805 , -1 , 0.123 , 1
