ricin , 0 , 193.125.98.91 , 0.224031 , 0.15 , -1 , 0
ppMedoOYmR7OPYPK6tapVHVHA4Fnutiw , 0 , 138.246.99.249 , 0.296042 , -1 , 0.0489 , 1
American Airlines , 0 , 138.246.99.249 , 0.441747 , 0.31 , 0.0486 , 0
eEPWyGdi6kEMsptNy73lLIKG0VoqKW9C , 0 , None , 0.223744 , -1 , -1 , 1
Huffington Post , 0 , 138.246.99.249 , 0.195542 , 0.13 , 0.0558 , 0
imFdfm7TtiDMF40sZnoNR0w4JirFPVGm , 0 , 138.246.99.249 , 0.180124 , -1 , 0.0655 , 1
Krystle Campbell , 0 , 138.246.99.249 , 0.271789 , 0.18 , 0.0535 , 0
CmMXwzH5wulqyHou2fiSTA1sEQLp71pA , 0 , None , 0.162631 , -1 , -1 , 1
Girls Love Beyonce , 0 , 138.246.99.249 , 0.229735 , 0.16 , 0.0679 , 0
ZB7oz5xJEEUriYzZbM2cEZSjcTcBLTv0 , 0 , 138.246.99.249 , 0.162583 , -1 , 0.0674 , 1
Tracy McGrady , 0 , None , 0.290813 , 0.17 , -1 , 0
7WWTVYWZsxK06YXzXIvLpJThkjg8phYy , 0 , None , 0.193421 , -1 , -1 , 1
USA TODAY , 0 , None , 0.18102 , 0.11 , -1 , 0
jsIxwpo4YcScjOVSY82xgfm8UvGqdmM5 , 0 , 138.246.99.249 , 0.184418 , -1 , 0.0727 , 1
Washington Post , 0 , None , 0.22254 , 0.15 , -1 , 0
QdQaVLFCjIamQsUUkLr28E1NLl88OA9v , 0 , 138.246.99.249 , 0.221482 , -1 , 0.0648 , 1
Carlos Arredondo , 0 , 138.246.99.249 , 0.253923 , 0.18 , 0.049 , 0
kA5xko4LbgQTPNiGFNd8NAQJocO3IDbd , 0 , 138.246.99.249 , 0.190961 , -1 , 0.0732 , 1
Outside Lands , 0 , 138.246.99.249 , 0.182686 , 0.09 , 0.0514 , 0
A27gc4varUpwknYZvrc7J8cXzzVaHHtJ , 0 , 138.246.99.249 , 0.181103 , -1 , 0.0672 , 1
ricin , 1 , None , 0.226735 , 0.13 , -1 , 0
ppMedoOYmR7OPYPK6tapVHVHA4Fnutiw , 1 , None , 0.208815 , -1 , -1 , 1
American Airlines , 1 , 138.246.99.249 , 0.312335 , 0.18 , 0.0607 , 0
eEPWyGdi6kEMsptNy73lLIKG0VoqKW9C , 1 , 138.246.99.249 , 0.202713 , -1 , 0.0464 , 1
Huffington Post , 1 , None , 0.20862 , 0.14 , -1 , 0
imFdfm7TtiDMF40sZnoNR0w4JirFPVGm , 1 , 82.160.1.8 , 0.192941 , -1 , 36.3 , 1
Krystle Campbell , 1 , 138.246.99.249 , 0.263321 , 0.17 , 0.065 , 0
CmMXwzH5wulqyHou2fiSTA1sEQLp71pA , 1 , None , 0.194711 , -1 , -1 , 1
Girls Love Beyonce , 1 , None , 0.223001 , 0.15 , -1 , 0
ZB7oz5xJEEUriYzZbM2cEZSjcTcBLTv0 , 1 , None , 0.181838 , -1 , -1 , 1
Tracy McGrady , 1 , 138.246.99.249 , 0.268606 , 0.16 , 0.0641 , 0
7WWTVYWZsxK06YXzXIvLpJThkjg8phYy , 1 , 138.246.99.249 , 0.165492 , -1 , 0.0575 , 1
USA TODAY , 1 , 138.246.99.249 , 0.262235 , 0.19 , 0.0608 , 0
jsIxwpo4YcScjOVSY82xgfm8UvGqdmM5 , 1 , 157.158.3.2 , 0.198209 , -1 , 46.37 , 1
Washington Post , 1 , None , 0.233308 , 0.16 , -1 , 0
QdQaVLFCjIamQsUUkLr28E1NLl88OA9v , 1 , 138.246.99.249 , 0.158568 , -1 , 0.0716 , 1
Carlos Arredondo , 1 , None , 0.283883 , 0.21 , -1 , 0
kA5xko4LbgQTPNiGFNd8NAQJocO3IDbd , 1 , 138.246.99.249 , 0.15724 , -1 , 0.0686 , 1
Outside Lands , 1 , 138.246.99.249 , 0.179805 , 0.11 , 0.0526 , 0
A27gc4varUpwknYZvrc7J8cXzzVaHHtJ , 1 , None , 0.174643 , -1 , -1 , 1
ricin , 2 , 138.246.99.249 , 0.20091 , 0.13 , 0.0499 , 0
ppMedoOYmR7OPYPK6tapVHVHA4Fnutiw , 2 , None , 0.280777 , -1 , -1 , 1
American Airlines , 2 , 134.76.33.21 , 0.293405 , 0.17 , -1 , 0
eEPWyGdi6kEMsptNy73lLIKG0VoqKW9C , 2 , 138.246.99.249 , 0.257285 , -1 , 0.0651 , 1
Huffington Post , 2 , 74.125.189.23 , 0.190366 , 0.12 , 19.76 , 0
imFdfm7TtiDMF40sZnoNR0w4JirFPVGm , 2 , None , 0.196203 , -1 , -1 , 1
Krystle Campbell , 2 , None , 0.230815 , 0.13 , -1 , 0
CmMXwzH5wulqyHou2fiSTA1sEQLp71pA , 2 , None , 0.180834 , -1 , -1 , 1
Girls Love Beyonce , 2 , 138.246.99.249 , 0.245876 , 0.17 , 0.0677 , 0
ZB7oz5xJEEUriYzZbM2cEZSjcTcBLTv0 , 2 , None , 0.151292 , -1 , -1 , 1
Tracy McGrady , 2 , 138.246.99.249 , 0.272104 , 0.18 , 0.0542 , 0
7WWTVYWZsxK06YXzXIvLpJThkjg8phYy , 2 , 81.180.201.98 , 0.174397 , -1 , 44.6 , 1
USA TODAY , 2 , None , 0.217821 , 0.15 , -1 , 0
jsIxwpo4YcScjOVSY82xgfm8UvGqdmM5 , 2 , 82.198.165.2 , 0.170044 , -1 , 72.61 , 1
Washington Post , 2 , 81.228.11.214 , 0.20405 , 0.14 , 36.88 , 0
QdQaVLFCjIamQsUUkLr28E1NLl88OA9v , 2 , None , 0.164163 , -1 , -1 , 1
Carlos Arredondo , 2 , 160.80.221.11 , 0.228213 , 0.15 , 36.87 , 0
kA5xko4LbgQTPNiGFNd8NAQJocO3IDbd , 2 , 138.246.99.249 , 0.150541 , -1 , 0.0642 , 1
Outside Lands , 2 , 138.246.99.249 , 0.203775 , 0.13 , 0.0618 , 0
A27gc4varUpwknYZvrc7J8cXzzVaHHtJ , 2 , 138.246.99.249 , 0.261523 , -1 , 0.0674 , 1
ricin , 3 , 193.92.150.3 , 0.337552 , 0.15 , 56.73 , 0
ppMedoOYmR7OPYPK6tapVHVHA4Fnutiw , 3 , 138.246.99.249 , 0.277063 , -1 , 0.0666 , 1
American Airlines , 3 , 138.246.99.249 , 0.278466 , 0.15 , 0.0629 , 0
eEPWyGdi6kEMsptNy73lLIKG0VoqKW9C , 3 , None , 0.206383 , -1 , -1 , 1
Huffington Post , 3 , 138.246.99.249 , 0.190969 , 0.12 , 0.0648 , 0
imFdfm7TtiDMF40sZnoNR0w4JirFPVGm , 3 , None , 0.233792 , -1 , -1 , 1
Krystle Campbell , 3 , None , 0.211213 , 0.12 , -1 , 0
CmMXwzH5wulqyHou2fiSTA1sEQLp71pA , 3 , 138.246.99.249 , 0.17998 , -1 , 0.0565 , 1
Girls Love Beyonce , 3 , None , 0.206291 , 0.13 , -1 , 0
ZB7oz5xJEEUriYzZbM2cEZSjcTcBLTv0 , 3 , None , 0.182565 , -1 , -1 , 1
Tracy McGrady , 3 , 129.206.210.127 , 0.239415 , 0.13 , 7.938 , 0
7WWTVYWZsxK06YXzXIvLpJThkjg8phYy , 3 , None , 0.152227 , -1 , -1 , 1
USA TODAY , 3 , None , 0.557081 , 0.19 , -1 , 0
jsIxwpo4YcScjOVSY82xgfm8UvGqdmM5 , 3 , 81.228.8.201 , 0.205149 , -1 , 36.62 , 1
