ricin , 0 , 193.125.98.3 , 0.95162 , 0.1 , 89.1
zzBiUW0sOLHdHOBbuED7LTP3Rl3KVPht , 0 , 195.130.124.2 , 0.640048 , -1 , 0.076
American Airlines , 0 , 89.187.1.254 , 0.653798 , 0.11 , 71.6
GVZWL87EFlqUIqj2N18oip2OjTNp2Coq , 0 , 195.130.124.2 , 0.557493 , -1 , 0.064
Huffington Post , 0 , 195.130.124.2 , 0.667248 , 0.19 , 0.091
otiMeZzgStFox9L33h3vM7la6gMofCqa , 0 , 74.125.189.17 , 0.625106 , -1 , 55.4
Krystle Campbell , 0 , 195.130.124.2 , 0.704407 , 0.14 , 0.066
o4EV7777UjSPUZT4n1a8bOP9dwJY4OiG , 0 , 195.130.124.2 , 0.647143 , -1 , 0.078
Girls Love Beyonce , 0 , 195.130.124.2 , 0.603182 , 0.2 , 0.086
llYvKYSRhPr3H4O8aBU61jblNGyRYdnn , 0 , 195.130.124.2 , 0.626559 , -1 , 0.078
Tracy McGrady , 0 , 195.130.124.2 , 0.712884 , 0.12 , 0.084
4OUqmVyQbeCTbc132JI5DQh7Zz9ZD8YX , 0 , 195.130.124.2 , 0.639715 , -1 , 0.073
USA TODAY , 0 , 195.130.124.2 , 0.716544 , 0.13 , 0.077
kIAuqADqjJTkhys3J6GRXRNpwAlDdMH9 , 0 , 195.130.124.2 , 0.639236 , -1 , 0.069
Washington Post , 0 , 195.130.124.2 , 0.626179 , 0.12 , 0.081
TkG67gx5Y1nG93bR15VpTwMA8qODBKFX , 0 , 195.130.124.2 , 0.674341 , -1 , 0.094
Carlos Arredondo , 0 , 195.130.124.2 , 0.673289 , 0.12 , 0.078
FKVcjXWLq4aPOTV9BalV5PY2utxs7PZu , 0 , 195.130.124.2 , 0.626551 , -1 , 0.085
Outside Lands , 0 , 195.130.124.2 , 0.619687 , 0.09 , 0.067
hCrEPdQmbfrxHrJ3nArQ5vvng6YItbGp , 0 , 82.76.253.218 , 0.592272 , -1 , -1 ,
ricin , 1 , 195.130.124.2 , 0.636738 , 0.09 , 0.063
zzBiUW0sOLHdHOBbuED7LTP3Rl3KVPht , 1 , 195.130.124.2 , 0.641384 , -1 , 0.077
American Airlines , 1 , 202.46.113.21 , 0.66991 , 0.12 , -1 ,
GVZWL87EFlqUIqj2N18oip2OjTNp2Coq , 1 , 208.69.34.17 , 0.722807 , -1 , 57.7
Huffington Post , 1 , 195.130.124.2 , 0.636718 , 0.12 , 0.063
otiMeZzgStFox9L33h3vM7la6gMofCqa , 1 , 195.130.124.2 , 0.5509 , -1 , 0.085
Krystle Campbell , 1 , 195.130.124.2 , 0.679015 , 0.11 , 0.065
o4EV7777UjSPUZT4n1a8bOP9dwJY4OiG , 1 , 195.130.124.2 , 0.630093 , -1 , 0.079
Girls Love Beyonce , 1 , 195.130.124.2 , 0.611742 , 0.14 , 0.069
llYvKYSRhPr3H4O8aBU61jblNGyRYdnn , 1 , 195.130.124.2 , 0.694279 , -1 , 0.081
Tracy McGrady , 1 , 195.130.124.2 , 0.852371 , 0.14 , 0.08
4OUqmVyQbeCTbc132JI5DQh7Zz9ZD8YX , 1 , 195.130.124.2 , 0.54786 , -1 , 0.086
USA TODAY , 1 , 195.130.124.2 , 0.825687 , 0.13 , 0.068
kIAuqADqjJTkhys3J6GRXRNpwAlDdMH9 , 1 , 195.130.124.2 , 0.61285 , -1 , 0.091
Washington Post , 1 , 194.213.16.129 , 0.647646 , 0.13 , -1 ,
TkG67gx5Y1nG93bR15VpTwMA8qODBKFX , 1 , 195.130.124.2 , 0.630723 , -1 , 0.07
Carlos Arredondo , 1 , 195.130.124.2 , 0.626159 , 0.15 , 0.084
FKVcjXWLq4aPOTV9BalV5PY2utxs7PZu , 1 , 208.69.33.17 , 0.673952 , -1 , 48.2
Outside Lands , 1 , 195.130.124.2 , 0.629755 , 0.11 , 0.09
hCrEPdQmbfrxHrJ3nArQ5vvng6YItbGp , 1 , 195.130.124.2 , 0.634535 , -1 , 0.081
ricin , 2 , 195.130.124.2 , 0.627239 , 0.11 , 0.086
zzBiUW0sOLHdHOBbuED7LTP3Rl3KVPht , 2 , 195.130.124.2 , 0.650367 , -1 , 0.061
American Airlines , 2 , 195.130.124.2 , 0.708265 , 0.13 , 0.084
GVZWL87EFlqUIqj2N18oip2OjTNp2Coq , 2 , 192.221.144.242 , 0.713456 , -1 , -1 ,
Huffington Post , 2 , 195.130.124.2 , 0.663694 , 0.12 , 0.073
otiMeZzgStFox9L33h3vM7la6gMofCqa , 2 , 173.194.97.18 , 0.637394 , -1 , -1 ,
Krystle Campbell , 2 , 195.130.124.2 , 0.768589 , 0.15 , 0.069
o4EV7777UjSPUZT4n1a8bOP9dwJY4OiG , 2 , 195.130.124.2 , 0.632498 , -1 , 0.076
Girls Love Beyonce , 2 , 195.130.124.2 , 0.612463 , 0.13 , 0.058
llYvKYSRhPr3H4O8aBU61jblNGyRYdnn , 2 , 168.167.252.242 , 0.548946 , -1 , -1 ,
Tracy McGrady , 2 , 195.130.124.2 , 0.745843 , 0.15 , 0.075
4OUqmVyQbeCTbc132JI5DQh7Zz9ZD8YX , 2 , 195.130.124.2 , 0.650906 , -1 , 0.071
USA TODAY , 2 , 195.130.124.2 , 0.628894 , 0.14 , 0.07
kIAuqADqjJTkhys3J6GRXRNpwAlDdMH9 , 2 , 195.130.124.2 , 0.665888 , -1 , 0.074
Washington Post , 2 , 195.130.124.2 , 0.636788 , 0.11 , 0.088
TkG67gx5Y1nG93bR15VpTwMA8qODBKFX , 2 , 193.189.177.53 , 0.648149 , -1 , 83.9
Carlos Arredondo , 2 , 195.130.124.2 , 0.618838 , 0.11 , 0.081
FKVcjXWLq4aPOTV9BalV5PY2utxs7PZu , 2 , 74.125.189.22 , 0.554153 , -1 , 53.3
Outside Lands , 2 , 195.130.124.2 , 0.655991 , 0.09 , 0.067
hCrEPdQmbfrxHrJ3nArQ5vvng6YItbGp , 2 , 195.130.124.2 , 0.628727 , -1 , 0.065
ricin , 3 , 195.130.124.2 , 0.667767 , 0.14 , 0.055
zzBiUW0sOLHdHOBbuED7LTP3Rl3KVPht , 3 , 195.130.124.2 , 0.628671 , -1 , 0.061
American Airlines , 3 , 195.130.124.2 , 0.637828 , 0.16 , 0.076
GVZWL87EFlqUIqj2N18oip2OjTNp2Coq , 3 , 195.130.124.2 , 0.591357 , -1 , 0.06
Huffington Post , 3 , 192.221.146.174 , 0.705603 , 0.14 , -1 ,
otiMeZzgStFox9L33h3vM7la6gMofCqa , 3 , 195.116.182.232 , 0.623267 , -1 , 78.1
Krystle Campbell , 3 , 195.130.124.2 , 0.74531 , 0.14 , 0.07
o4EV7777UjSPUZT4n1a8bOP9dwJY4OiG , 3 , 195.130.124.2 , 0.608603 , -1 , 0.075
Girls Love Beyonce , 3 , 141.250.1.6 , 0.703598 , 0.18 , -1 ,
llYvKYSRhPr3H4O8aBU61jblNGyRYdnn , 3 , 67.215.80.21 , 0.614164 , -1 , -1 ,
Tracy McGrady , 3 , 195.130.124.2 , 0.755655 , 0.16 , 0.083
4OUqmVyQbeCTbc132JI5DQh7Zz9ZD8YX , 3 , 195.130.124.2 , 0.56681 , -1 , 0.075
USA TODAY , 3 , 195.130.124.2 , 0.711824 , 0.14 , 0.088
kIAuqADqjJTkhys3J6GRXRNpwAlDdMH9 , 3 , 195.130.124.2 , 0.560309 , -1 , 0.081
Washington Post , 3 , 173.194.97.22 , 0.65734 , 0.17 , -1 ,
TkG67gx5Y1nG93bR15VpTwMA8qODBKFX , 3 , 195.130.124.2 , 0.591443 , -1 , 0.059
Carlos Arredondo , 3 , 195.130.124.2 , 0.706418 , 0.11 , 0.084
FKVcjXWLq4aPOTV9BalV5PY2utxs7PZu , 3 , 173.194.97.21 , 0.615613 , -1 , -1 ,
Outside Lands , 3 , 202.188.0.136 , 0.613533 , 0.11 , -1 ,
hCrEPdQmbfrxHrJ3nArQ5vvng6YItbGp , 3 , 195.130.124.2 , 0.636629 , -1 , 0.056
ricin , 4 , 195.130.124.2 , 0.706873 , 0.12 , 0.068
zzBiUW0sOLHdHOBbuED7LTP3Rl3KVPht , 4 , 83.235.65.38 , 0.616364 , -1 , 8.43
American Airlines , 4 , 195.130.124.2 , 0.643176 , 0.11 , 0.091
GVZWL87EFlqUIqj2N18oip2OjTNp2Coq , 4 , 195.130.124.2 , 0.700823 , -1 , 0.071
Huffington Post , 4 , 195.130.124.2 , 0.589013 , 0.12 , 0.066
otiMeZzgStFox9L33h3vM7la6gMofCqa , 4 , 195.130.124.2 , 0.607569 , -1 , 0.074
Krystle Campbell , 4 , 195.130.124.2 , 0.710213 , 0.15 , 0.079
o4EV7777UjSPUZT4n1a8bOP9dwJY4OiG , 4 , 195.130.124.2 , 0.65738 , -1 , 0.106
Girls Love Beyonce , 4 , 195.130.124.2 , 0.608274 , 0.13 , 0.063
llYvKYSRhPr3H4O8aBU61jblNGyRYdnn , 4 , 202.138.96.62 , 0.648417 , -1 , -1 ,
Tracy McGrady , 4 , 195.130.124.2 , 0.756502 , 0.12 , 0.078
4OUqmVyQbeCTbc132JI5DQh7Zz9ZD8YX , 4 , 78.100.39.164 , 0.628625 , -1 , -1 ,
USA TODAY , 4 , 195.130.124.2 , 0.72306 , 0.13 , 0.054
kIAuqADqjJTkhys3J6GRXRNpwAlDdMH9 , 4 , 195.130.124.2 , 0.649278 , -1 , 0.073
Washington Post , 4 , 195.130.124.2 , 0.589752 , 0.13 , 0.067
TkG67gx5Y1nG93bR15VpTwMA8qODBKFX , 4 , 165.21.100.94 , 0.569347 , -1 , -1 ,
Carlos Arredondo , 4 , 195.130.124.2 , 0.598328 , 0.17 , 0.057
FKVcjXWLq4aPOTV9BalV5PY2utxs7PZu , 4 , 175.100.191.222 , 0.591601 , -1 , -1 ,
Outside Lands , 4 , 64.233.168.86 , 0.670877 , 0.09 , -1 ,
hCrEPdQmbfrxHrJ3nArQ5vvng6YItbGp , 4 , 195.130.124.2 , 0.612727 , -1 , 0.075
ricin , 5 , 195.130.124.2 , 0.699317 , 0.1 , 0.074
zzBiUW0sOLHdHOBbuED7LTP3Rl3KVPht , 5 , 195.130.124.2 , 0.644392 , -1 , 0.085
American Airlines , 5 , 195.130.124.2 , 0.623182 , 0.14 , 0.062
