ricin , 0 , None , 0.178849 , 0.1 , -1 , 0
NWMi0xXmjCdP3LCgp2LMaWpxSnAx6g1Q , 0 , 131.130.69.162 , 0.202565 , -1 , 0.024 , 1
American Airlines , 0 , 89.187.1.254 , 0.253894 , 0.13 , 42.6 , 0
cjxtISgdGFXKTdsCpyb7dH4ZFY7iIXzE , 0 , None , 0.253177 , -1 , -1 , 1
Huffington Post , 0 , None , 0.358432 , 0.25 , -1 , 0
lSlWhiQostdZLzLKTpPmj2tbWaNMzgZI , 0 , None , 0.239388 , -1 , -1 , 1
Krystle Campbell , 0 , None , 0.354418 , 0.23 , -1 , 0
wxTqmhYin7WFtUKFPJK7PPCiGjrL7qXc , 0 , None , 0.187096 , -1 , -1 , 1
Girls Love Beyonce , 0 , 193.2.1.102 , 0.274407 , 0.18 , 6.96 , 0
efJGujb3ZJ9WpdEEquuNRpD5KCCtFeOm , 0 , None , 0.200542 , -1 , -1 , 1
Tracy McGrady , 0 , 131.130.69.162 , 0.308876 , 0.2 , 0.021 , 0
U82xMczXrgamk6n1fzSVH6Sv0mNGxsZg , 0 , None , 0.175614 , -1 , -1 , 1
USA TODAY , 0 , None , 0.261345 , 0.18 , -1 , 0
ScSlY5Zv0Gr72ns7gXszXkkOOPElCbgm , 0 , None , 0.207714 , -1 , -1 , 1
Washington Post , 0 , None , 0.259696 , 0.18 , -1 , 0
4EKcE5JT9enOXzsCZuiPWJylqcBLxIj2 , 0 , 131.130.69.162 , 0.200744 , -1 , 0.02 , 1
Carlos Arredondo , 0 , 131.130.69.162 , 0.59587 , 0.51 , 0.023 , 0
x4gqRZcUTmmBnBO7duJaYKCON55o83jp , 0 , None , 0.214576 , -1 , -1 , 1
Outside Lands , 0 , None , 0.221444 , 0.14 , -1 , 0
HFpAl5jxTBMBlUUaYUd95ujoTh530Ad5 , 0 , 131.130.69.162 , 0.193479 , -1 , 0.02 , 1
ricin , 1 , 131.130.69.162 , 0.229137 , 0.15 , 0.021 , 0
NWMi0xXmjCdP3LCgp2LMaWpxSnAx6g1Q , 1 , 61.111.20.141 , 0.133707 , -1 , -1 , 1
American Airlines , 1 , 131.130.69.162 , 0.256796 , 0.15 , 0.022 , 0
cjxtISgdGFXKTdsCpyb7dH4ZFY7iIXzE , 1 , 131.130.69.162 , 0.251765 , -1 , 0.019 , 1
Huffington Post , 1 , None , 0.276564 , 0.18 , -1 , 0
lSlWhiQostdZLzLKTpPmj2tbWaNMzgZI , 1 , None , 0.179071 , -1 , -1 , 1
Krystle Campbell , 1 , 194.228.203.2 , 0.231092 , 0.11 , -1 , 0
wxTqmhYin7WFtUKFPJK7PPCiGjrL7qXc , 1 , None , 0.176314 , -1 , -1 , 1
Girls Love Beyonce , 1 , 202.153.97.2 , 0.267782 , 0.19 , -1 , 0
efJGujb3ZJ9WpdEEquuNRpD5KCCtFeOm , 1 , 195.243.18.1 , 0.261196 , -1 , 22.3 , 1
Tracy McGrady , 1 , 74.125.18.154 , 0.306646 , 0.18 , 33.3 , 0
U82xMczXrgamk6n1fzSVH6Sv0mNGxsZg , 1 , None , 0.184993 , -1 , -1 , 1
USA TODAY , 1 , 131.130.69.162 , 0.300759 , 0.21 , 0.02 , 0
ScSlY5Zv0Gr72ns7gXszXkkOOPElCbgm , 1 , 131.130.69.162 , 0.215004 , -1 , 0.02 , 1
Washington Post , 1 , None , 0.277253 , 0.18 , -1 , 0
4EKcE5JT9enOXzsCZuiPWJylqcBLxIj2 , 1 , 195.175.39.68 , 0.188405 , -1 , 70.0 , 1
Carlos Arredondo , 1 , 131.130.69.162 , 0.302144 , 0.2 , 0.02 , 0
x4gqRZcUTmmBnBO7duJaYKCON55o83jp , 1 , None , 0.215037 , -1 , -1 , 1
Outside Lands , 1 , None , 0.185081 , 0.11 , -1 , 0
HFpAl5jxTBMBlUUaYUd95ujoTh530Ad5 , 1 , 130.235.63.228 , 0.205681 , -1 , -1 , 1
ricin , 2 , None , 0.241024 , 0.15 , -1 , 0
NWMi0xXmjCdP3LCgp2LMaWpxSnAx6g1Q , 2 , 62.97.33.21 , 0.135348 , -1 , -1 , 1
